State,Road Accidents  during 2018, Road Accidents  during 2019,Road Accidents  during 2020,Accidents  Per Lakh Population - 2017,Total Number of Accidents  Per Lakh Population - 2018,Total Number of Accidents  Per Lakh Population - 2019,Total Number of Accidents  Per Lakh Population - 2020,"Accidents per 10,000 Vehicles - 2017","Accidents per 10,000 Vehicles - 2018","Accidents per 10,000 Vehicles - 2019","Accidents per 10,000 Km of Roads - 2017","Accidents per 10,000 Km of Roads - 2018",Persons Killed 2017,Persons Killed 2018,Persons Killed 2019,Persons Killed 2020,Share in Death- 2017,Share in Death- 2018,Share in Death- 2019,Share in Death- 2020,Persons Killed Per Lakh Population - 2017,Persons Killed Per Lakh Population - 2018,Persons Killed Per Lakh Population - 2019,Persons Killed Per Lakh Population - 2020,"Persons Killed per 10,000 Vehicles - 2017","Persons Killed per 10,000 Vehicles - 2018","Persons Killed per 10,000 Vehicles - 2019","Persons Killed per 10,000 Km of Roads - 2017","Persons Killed per 10,000 Km of Roads - 2018",Persons Injured - 2017,Persons Injured - 2018,Persons Injured - 2019,Persons Injured - 2020,Injury Per Lakh Population - 2017,Injury Per Lakh Population - 2018,Injury Per Lakh Population - 2019,Injury Per Lakh Population - 2020,"Road Accidents per 10,000 Vehicles- 2016","Road Accidents per 10,000 Vehicles- 2017","Road Accidents per 10,000 Vehicles- 2018","Road Accidents per 10,000 Vehicles- 2019","Injury per 10,000 Km of Roads - 2016","Injury per 10,000 Km of Roads - 2017","Injury per 10,000 Km of Roads - 2018"
Andhra Pradesh,24475,21992,19509,28.7,27.1,24.2,21.5,26.7,22.7,18.3,1457.8,1121.7,8060,7556,7984,7039,5.4,5,5.3,5.3,9.1,8.4,8.8,7.7,8.4,7,6.7,456.7,346.3,27475,23456,24619,19675,30.85865109,26.15201079,27.25451124,21.63300311,31.48074181,24.36640187,22.80378454,16.40566853,1575.70085,1329.150122,1128.330253
Arunachal Pradesh,277,237,134,18,20.5,17.3,9.8,13.4,13.2,10.3,65.1,54.8,110,175,127,73,0.1,0.1,0.1,0,8.3,13,9.4,5.3,6.1,8.3,5.5,29.7,34.6,316,323,309,185,23.81311228,24.08650261,22.82127031,13.53328456,11.93565323,17.95751352,14.72318974,8.038026382,102.9573958,87.23743591,61.12179743
Assam,8248,8350,6595,21.6,24.6,24.7,19.5,23.7,24,21.2,212.3,240,2783,2966,3208,2629,1.9,2,2.1,1.7,8.5,8.9,9.6,7.8,9.2,8.6,8.1,82.4,86.3,6163,7375,7473,5269,18.78390735,22.23662787,22.29681346,15.56297259,21.87485581,24.35066275,21.71123333,13.38492886,187.0296188,218.3390218,217.4852786
Bihar,9600,10007,8639,8.3,8.9,9.2,8,14.2,13,11.7,422.6,330.4,5554,6729,7205,6699,3.8,4.4,4.8,4.4,5.3,6.3,6.7,6.2,8.9,9.1,8.4,265,231.6,6014,6679,7206,7016,5.724130054,6.289551002,6.716188381,6.473996973,10.96979039,10.69333441,9.78541346,8.202794211,291.2574763,318.732481,247.994426
Chhattisgarh,13864,13899,11656,51.2,51.8,51.4,43.1,25.9,23.9,21.8,1386.2,1351.6,4136,4592,5003,4606,2.8,3,3.3,3,15.8,17.3,18.7,17,7.9,7.9,7.8,422.7,447.7,12550,12715,13090,10505,47.92637287,48.00286922,48.87611082,38.81253233,26.08902448,24.25586109,22.594821,16.47774383,1309.893853,1299.510095,1276.102461
Goa,3709,3440,2375,189.4,175.2,158.5,109.4,31.6,28,24.5,2351.3,1993.3,328,262,297,223,0.2,0.2,0.2,0.1,16.2,12.7,14,10.3,2.6,2,2.1,196.9,140.8,1922,1549,1448,880,95.00741473,74.9032882,68.39867737,40.55299539,16.59412851,12.50561097,10.92465759,6.276519185,1196.53267,929.8253988,778.2028562
Gujarat,18769,17046,13398,29.7,28.9,26,20.4,8.7,7.9,6.8,1054.6,930.3,7289,7996,7390,6170,4.9,5.3,4.9,4.1,11.5,12.5,11.4,9.4,3.3,3.4,2.9,402.9,396.3,16802,17467,16258,12002,26.44651514,27.19784498,25.05432186,18.31471647,8.251930525,7.926380817,6.825123035,4.762493361,937.9052783,965.4190617,805.880351
Haryana,11238,10944,9431,39.8,39.3,37.7,32.5,12,14.5,12.7,1383.3,2246.7,5120,5118,5057,4507,3.5,3.4,3.3,3,18.4,18.1,17.7,15.5,5.5,6.6,5.9,629.1,1023.2,10339,10020,9362,7659,37.09989953,35.46526033,32.69882295,26.40852355,11.97619911,10.69329589,12.10655319,8.906157773,2132.538319,1231.171493,1871.616878
Himachal Pradesh,3110,2873,2239,43.2,42.8,39.3,30.6,23,20.8,17.6,495.8,502.4,1203,1208,1146,893,0.8,0.8,0.8,0.6,16.8,16.8,15.8,12.2,8.9,8.1,7,191.5,195.2,5452,5551,4904,3223,76.24108516,77.03302803,67.55751481,44.0842566,46.37986916,40.94225453,32.80581353,19.71462424,977.7839313,883.7463586,792.2595211
Jammu and Kashmir,5978,5796,4860,44.4,46.8,45,37.7,37.2,35.7,31.3,887.3,550.1,926,984,996,728,0.6,0.6,0.7,0.5,7.4,7.8,7.8,5.6,6.1,5.9,5.4,146.1,90.5,7419,7845,7532,5894,59.13909924,61.94236084,58.93583725,45.73246431,54.32967767,51.92458525,44.98951121,31.79691407,1492.262621,1237.662032,693.0656591
Jharkhand,5394,5217,4405,15.1,15.5,14.8,12.5,15.4,13.4,11.4,743.9,682.2,3256,3542,3801,3044,2.2,2.3,2.5,2,9.6,10.3,10.9,8.6,9.6,8.8,8.3,466,448,3918,3975,3818,3295,11.50019079,11.52741931,10.94390461,9.340098645,15.81740625,11.74178009,9.498176365,7.19796456,586.6537529,568.9094302,482.9104896
Karnataka,41707,40658,34178,67.1,65.2,63.1,53.1,23.8,21.5,19.3,1178.3,1176.5,10609,10990,10958,9760,7.2,7.3,7.3,6.5,16.9,17.3,17.1,15.2,5.9,5.7,5.2,293.8,310,52961,51562,50447,39492,84.18266785,81.28320328,78.90233984,61.31346064,32.50783448,28.85174616,26.02808941,18.74274669,1532.81134,1428.146558,1423.02697
Kerala,40181,41111,27877,106.7,110.9,112.9,76.6,34,32.6,30.8,1599.2,1562.9,4131,4303,4440,2979,2.8,2.8,2.9,2,11.5,11.9,12.3,8.2,3.7,3.5,3.3,171.7,167.4,42671,45458,46055,30510,118.9501854,126.0551273,127.0798267,83.79566053,41.95024034,40.21755238,37.317708,22.8796675,2124.966453,1889.654684,1791.432064
Madhya Pradesh,51397,50669,45266,66.7,63.4,61.7,55.1,40.5,38.9,38.4,1558.4,1412.1,10177,10706,11249,11141,6.9,7.1,7.4,7.4,12.9,13.4,13.9,13.6,7.7,8.1,8.5,297,294.1,57532,54662,52816,46456,72.85851781,68.29164689,65.1237346,56.56122921,51.63969866,41.41414509,40.01554072,35.19694713,1984.275503,1595.253414,1451.100909
Maharashtra,35717,32925,24971,29.2,28.7,26.2,19.9,11.9,10.9,9.3,574.6,570.1,12264,13261,12788,11569,8.3,8.8,8.5,7.7,10.1,10.8,10.3,9.2,4.1,4,3.6,196.5,211.7,32128,31365,28628,19914,26.44083977,25.5153507,23.02655921,15.84109585,11.5278631,10.37988046,8.713879693,5.626668748,523.7541892,502.6664858,456.9359305
Manipur,601,672,432,21.8,22.5,24.9,16,17,19.5,18.6,209.3,206,136,134,156,127,0.1,0.1,0.1,0.1,5.2,5.1,5.8,4.7,4,4.4,4.3,49.3,45.9,1027,1042,1055,663,39.21344024,39.38019652,39.46876169,24.57375834,33.55781453,30.62805142,34.26247982,18.31643506,414.5188977,377.3728404,361.544174
Meghalaya,399,482,214,23.8,14,16.7,7.4,11.6,12,13.2,294.3,91,182,182,179,144,0.1,0.1,0.1,0.1,6.5,6.4,6.3,5,3.1,5.5,4.9,79.3,41.5,354,205,222,220,12.62932572,7.238700565,7.762237762,7.620367163,6.338758284,3.515649786,6.674162573,6.014149654,162.9320403,89.36895275,50.64369505
Mizoram,53,62,53,6.3,4.8,5.6,4.8,3.6,2.5,2.7,61.8,39.6,60,45,48,42,0,0,0,0,5.6,4.1,4.4,3.8,3.2,2.2,2.1,54.5,33.6,55,80,56,68,5.121042831,7.373271889,5.109489051,6.148282098,3.210910089,4.277480136,2.693874802,2.911370185,67.83440512,72.64753875,41.87114365
Nagaland,430,358,500,21.9,17.5,14.5,20.2,12.9,9.6,7.3,146.5,117.2,41,39,26,53,0,0,0,0,1.7,1.6,1.1,2.1,1,0.9,0.5,11.3,10.6,375,335,246,286,15.59251559,13.78600823,10.02444988,11.54622527,9.85897719,8.167185953,5.476378111,5.840453513,103.8381056,92.44311989,67.02444278
Odisha,11262,11064,9817,25.2,25.9,25.3,22.4,16.6,15.2,13.4,357.5,365.7,4790,5315,5333,4738,3.2,3.5,3.5,3.1,11.2,12.3,12.3,10.8,7.3,7.2,6.4,157.7,172.6,11198,11794,11177,8822,26.15866193,27.34396736,25.72382048,20.15904209,19.19649355,17.98512057,15.05537433,10.65346098,388.7076775,388.383302,362.9183104
Punjab,6428,6348,5203,21.2,21.5,21.1,17.3,6.4,6.6,6,449.7,450.7,4463,4740,4525,3898,3,3.1,3,2.6,15.2,16,15.1,12.9,4.5,4.9,4.3,319.9,332.3,4218,3384,3812,2904,14.36061555,11.42278481,12.76282309,9.647520016,4.653330209,3.438015696,3.937619513,2.750147143,389.1915114,242.5937713,267.2546831
Rajasthan,21743,23480,19114,29.5,28.7,30.6,24.9,14.8,13.4,13.3,832.5,693.8,10444,10320,10563,9250,7.1,6.8,7,6.1,14.1,13.8,13.9,12.1,7,6.3,6,393.2,329.3,22071,21547,22979,16769,29.85633894,28.77383687,30.3041093,21.84629815,16.19047885,14.4605284,14.11485966,9.46868904,867.984651,811.2599987,733.2404047
Sikkim,180,162,138,29.7,27,24.1,20.5,36.2,29.3,22.6,172.1,133.2,78,85,73,47,0.1,0.1,0,0,11.9,12.9,10.9,7,14.4,13.9,10.2,68.5,62.9,479,370,318,218,73.35375191,56.06060606,47.67616192,32.3922734,97.74512805,68.3842827,51.83881064,30.37480842,581.1047541,324.9553406,235.3853458
Tamil Nadu,63920,57228,45484,93.6,90.9,81,64.4,25.1,22.8,19,2507.8,2367.3,16157,12216,10525,8059,10.9,8.1,7,5.3,23.2,17.4,15,11.4,6.2,4.4,3.5,618,452.4,74571,74537,67137,50551,106.9424925,106.4099819,95.44097578,71.58474588,30.81020031,28.54843045,23.94124782,16.75251095,2856.746851,2851.06019,2486.48796
Telangana,22230,21570,19172,NA,NA,NA,NA,22.8,20.3,17.8,1782.5,1735.8,6596,6603,6964,6882,4.5,4.4,4.6,4.6,NA,NA,NA,NA,6.7,6,5.7,522.9,515.6,23990,23613,21999,18661,NA,0,0,0,27.54561877,NA,20.0625579,15.38636337,1941.375651,1872.038773,1717.725529
Tripura,552,655,466,12.9,14,16.4,11.7,13.1,12.7,13.2,117.2,127.7,161,213,239,192,0.1,0.1,0.2,0.1,4.2,5.5,6.1,4.8,4.2,4.9,4.8,37.5,49.3,718,741,816,470,18.56736488,18.97081413,20.67916878,11.80015064,22.47387959,19.36308262,18.75301634,9.478500945,182.395251,172.6248245,188.8231068
Uttarakhand,1468,1352,1041,14.7,13.3,12.1,9.4,7.5,5.9,4.9,229.7,277.8,942,1047,867,674,0.6,0.7,0.6,0.4,8.8,9.6,7.9,6.1,4.4,4.2,3.1,135,198.1,1631,1571,1457,854,15.15658396,14.43005419,13.23342416,7.673645431,8.637764667,7.35028187,5.873957846,3.10242545,267.2961154,225.1453732,275.6963523
Uttar Pradesh,42568,42572,34243,17.2,18.7,18.4,14.8,14.8,14.5,13,906,975.6,20124,22256,22655,19149,13.6,14.7,15,12.7,9.1,9.9,9.9,8.3,7.7,7.6,6.9,470.1,510.1,27494,29664,28932,22410,12.41437854,13.19402746,12.68101967,9.670946165,11.48628827,11.29401187,9.84255183,6.850685683,650.8812073,692.9944746,663.0719589
West Bengal,12705,10158,9180,12.2,13.3,10.5,9.5,15.6,14.8,10.4,361.1,386,5769,5711,5500,4927,3.9,3.8,3.6,3.3,6.1,6,5.7,5.1,7.7,6.7,5.6,179.1,173.5,10091,11997,9757,8314,10.69709755,12.61394821,10.1767927,8.603686111,15.55239675,16.11293046,11.37781132,8.526281386,318.5991574,372.5006305,296.4519413
Andaman and Nicobar Islands,254,230,141,32.9,43.2,38.3,23.5,15.5,19.4,16.3,1168.9,1415.7,21,19,20,14,0,0,0,0,3.7,3.3,3.4,2.3,1.7,1.4,1.4,129.9,105.9,263,260,207,145,46.71403197,45.2173913,35.20408163,24.12645591,23.66618974,21.38879063,15.78477798,10.27996966,1761.789925,1608.039206,1153.734253
Chandigarh,316,305,159,17.6,15.6,14.4,7.5,3.9,3.3,3,1212.4,1244.4,107,98,104,53,0.1,0.1,0.1,0,5.8,5,5.1,2.5,1.2,1,1,379.3,385.9,302,300,275,148,16.24529317,15.45595054,13.56015779,6.974552309,3.608395853,3.39832055,2.892337724,1.463491812,1070.553746,1063.528077,1082.975623
Dadra and Nagar Haveli,80,68,100,14.8,17.1,14,20.6,6,6.8,5.5,564.5,674,43,54,49,64,0,0,0,0,9.8,11.9,10.5,13.2,3.9,4.6,4,362.3,454.9,60,66,105,119,13.72997712,14.60176991,22.43589744,24.48559671,5.69681548,5.92917333,8.934193285,9.633911368,529.2288694,556.1037015,884.5613713
Daman and Diu,76,69,NA,22,20.3,17.6,0,6.8,NA,NA,1853.2,2074.9,36,35,28,NA,0,0,0,0,10.5,9.7,7.5,0,3.1,0,0,844.5,955.6,70,94,74,NA,20.34883721,26.18384401,19.78609626,0,6.633373449,8.090963083,NA,NA,1412.40088,2205.014767,2020.312329
Delhi,6515,5610,4178,29.6,28.1,23.6,17.5,6.5,6.1,4.9,3731.6,3702.5,1584,1690,1463,1196,1.1,1.1,1,0.8,7.2,7.5,6.3,5,1.5,1.6,1.3,885.8,960.4,6604,6086,5152,3662,30.16075996,27.02126715,22.24140908,15.37492653,6.80492143,5.931743816,4.821090474,3.214663218,3746.97374,3403.362865,2927.880429
Lakshadweep,3,1,1,1.2,3.6,1.2,1.2,0.6,1.7,0.6,47.1,133.7,0,1,0,0,0,0,0,0,0,1.2,0,0,0,0.6,0,0,44.6,1,3,1,1,1.219512195,3.614457831,1.19047619,1.176470588,0.624687656,1.658649859,0.552883286,0.552883286,47.81028877,141.2895022,44.55533773
Puducherry,1597,1392,969,94.2,85.5,71.6,49.8,18.2,16,13.1,5221.8,3720.1,233,226,147,145,0.2,0.1,0.1,0.1,13.4,12.6,7.9,7.5,2.5,2.3,1.4,718.7,526.5,1741,1727,1619,1019,100.4616272,96.05116796,86.67023555,52.41769547,20.16649813,18.56326559,16.22470464,9.590055705,5485.93194,5326.653067,3771.383793
Total ,467044,449002,366138,35.8,35.6,33.8,27.6,18.4,17.1,15.1,930.3,878.6,147913,151417,151113,131714,100,100,100,87.2,11.5,11.7,11.5,9.9,5.8,5.5,5.1,296,284.8,470975,469418,451361,348279,36.69169781,36.16351693,34.39619704,26.25641466,20.40676345,17.81844855,16.53411703,11.71908281,998.0623305,939.273429,849.0936855
