lfd_nr;stadtteil;standort;baumart_botanisch;baumart_deutsch;id;baumfamilie
21334;Furth Süd;Kurze Str. 35-39 dahinter Fußweg Bahndamm;Fraxinus ornus;Esche, Blumen;51.2029, 6.67906;Esche
21335;Furth Süd;Jägerstr. Bolzplatz;Aesculus flava;Roßkastanie, Gelbe;51.2035, 6.68088;Roßkastanie
21338;Furth Süd;Wolberostr. Mittelstreifen ggb. ALDI;Alnus spaethii;Erle, Purpur;51.2052, 6.67643;Erle
21343;Furth Süd;Römerstr. 2 Mittelstreifen;Alnus spaethii;Erle, Purpur;51.2068, 6.67912;Erle
21344;Furth Süd;Römerstr. 2 Mittelstreifen;Alnus spaethii;Erle, Purpur;51.2067, 6.67911;Erle
21350;Furth Süd;Wolkerstr. 11;Aesculus flava;Roßkastanie, Gelbe;51.2102, 6.68096;Roßkastanie
21405;Stadionviertel;Stephanstr. 2 Getränke Markt/Bahn;Quercus cerris;Eiche, Zerr;51.2, 6.67997;Eiche
21360;Innenstadt;Gielenstr. Ecke Hermannsplatz Mittelstreifen;Fraxinus ornus;Esche, Blumen;51.2, 6.68068;Esche
21361;Innenstadt;Gielenstr. Ecke Hermannsplatz Mittelstreifen;Styphnolobium japonicum;Schnurbaum;51.1997, 6.68091;Schnurbaum
21365;Innenstadt;Gielenstr. 39 ggb. Mittelstreifen;Fraxinus ornus;Esche, Blumen;51.2011, 6.68127;Esche
21367;Innenstadt;Gielenstr. 29 ggb. Mittelstreifen;Fraxinus ornus;Esche, Blumen;51.2016, 6.6816;Esche
21378;Innenstadt;Theodor-Heuss-Platz Wendeschleife Strassenbahn;Platanus acerifolia;Platane;51.2046, 6.68699;Platane
21380;Innenstadt;Theodor-Heuss-Platz Wendeschleife Strassenbahn;Platanus acerifolia;Platane;51.2044, 6.68701;Platane
21382;Furth-Süd;Wolberostr. Ecke Marienstr. MIttelstreifen;Alnus spaethii;Erle, Purpur;51.2043, 6.67504;Erle
21389;Furth-Süd;Kurze Str. 35-39 dahinter Fußweg Bahndamm;Acer campestre 'Elsrijk';Ahorn, Feld;51.2028, 6.67881;Ahorn
21391;Furth-Süd;Katharina-Braeckeler-Str. Ende vor Fußweg am Bahndamm;Celtis australis;Zürgelbaum;51.2035, 6.68089;Zürgelbaum
21397;Furth-Süd;Römerstr. Ecke Wolkerstr.;Liquidamber styraciflua;Amberbaum;51.2104, 6.68011;Amberbaum
21399;Furth-Süd;Römerstr. 93 Mittelstreifen;Liquidamber styraciflua;Amberbaum;51.2115, 6.68012;Amberbaum
22381;Furth-Süd;Karl-Arnold-Str. zw. Josefstr. und Salzstr.;Prunus serrulata 'Kanzan';Kirsche, Jap Zier;51.2075, 6.68458;Kirsche
22383;Furth-Süd;Karl-Arnold-Str. zw. Josefstr. und Salzstr.;Prunus serrulata 'Kanzan';Kirsche, Jap Zier;51.2072, 6.68455;Kirsche
22385;Furth-Süd;Karl-Arnold-Str. zw. Josefstr. und Salzstr.;Quercus pubescens;Eiche, Flaum;51.2074, 6.6845;Eiche
22389;Furth-Süd;Karl-Arnold-Str. 12-16;Prunus serrulata 'Kanzan';Kirsche, Jap Zier;51.2086, 6.6846;Kirsche
22391;Furth-Süd;Wingenderstr. 8;Quercus pubescens;Eiche, Flaum;51.2094, 6.68474;Eiche
22397;Furth-Süd;Karl-Arnold-Str. 12-16;Quercus cerris;Eiche, Zerr;51.2082, 6.68452;Eiche
22401;Furth-Süd;Weißenberg Weg 83;Amelanchier lamarckii;Felsenbirne, Kupfer;51.2097, 6.67989;Felsenbirne
23238;Hammfeld;Stresemannalle Ecke Hammfelddamm;Castanea sativa;Esskastanie;51.1974, 6.71076;Esskastanie
23197;Hammfeld;Stresemannalle Ecke Hammfelddamm;Castanea sativa;Esskastanie;51.1975, 6.71069;Esskastanie
23208;Hammfeld;Stresemannalle Ecke Hammfelddamm;Castanea sativa;Esskastanie;51.1977, 6.71049;Esskastanie
23210;Hammfeld;Stresemannalle Ecke Hammfelddamm;Castanea sativa;Esskastanie;51.1975, 6.71063;Esskastanie
23091;Furth-Mitte;Geulenstr. 45;Acer platanoides 'Schwedleri';Ahorn, Roter Spitz;51.214, 6.66238;Ahorn
23426;Reuschenberg;Schwarzer Weg (Hochzeitshain);Juglans regia;Walnuss;51.1742, 6.69205;Walnuss
23427;Reuschenberg;Schwarzer Weg (Hochzeitshain);Juglans regia;Walnuss;51.1742, 6.69195;Walnuss
23428;Reuschenberg;Schwarzer Weg (Hochzeitshain);Castanea sativa;Esskastanie;51.174, 6.69231;Esskastanie
23432;Reuschenberg;Schwarzer Weg (Hochzeitshain);Malus sylvestris;Apfel, Wild-;51.174, 6.69198;Apfel
23435;Reuschenberg;Schwarzer Weg (Hochzeitshain);Prunus avium 'Plena';Kirsche, Vogel-;51.1737, 6.69226;Kirsche
23440;Vogelsang Bols-Siedlung;Niederdonker Weg;Juglans regia;Walnuss;51.2308, 6.68334;Walnuss
23441;Vogelsang Bols-Siedlung;Niederdonker Weg;Juglans regia;Walnuss;51.2309, 6.68343;Walnuss
23442;Vogelsang Bols-Siedlung;Niederdonker Weg;Juglans regia;Walnuss;51.2311, 6.68354;Walnuss
23443;Vogelsang Bols-Siedlung;Niederdonker Weg;Juglans regia;Walnuss;51.2311, 6.68339;Walnuss
23445;Vogelsang Bols-Siedlung;Niederdonker Weg;Pyrus communis;Birne, 'Gute Luise v. Avranches';51.231, 6.68286;Birne
23446;Vogelsang Bols-Siedlung;Niederdonker Weg;Pyrus communis;Birne, 'Gute Luise v. Avranches';51.2311, 6.68269;Birne
23449;Vogelsang Bols-Siedlung;Niederdonker Weg;Pyrus communis;Birne, 'Gute Luise v. Avranches';51.2313, 6.68276;Birne
23451;Vogelsang Bols-Siedlung;Niederdonker Weg;Malus domestica;Apfel, Rheinischer Bohn-;51.231, 6.68329;Apfel
23454;Vogelsang Bols-Siedlung;Niederdonker Weg;Malus domestica;Apfel, Rheinischer Bohn-;51.2312, 6.68309;Apfel
23457;Vogelsang Bols-Siedlung;Niederdonker Weg;Prunus dom.;Zwetsche, Haus-;51.2313, 6.68252;Zwetsche
23464;Vogelsang Bols-Siedlung;Niederdonker Weg;Castanea satvia;Esskastanie;51.2318, 6.68133;Esskastanie
23439;Stadionviertel;Einsteinstraße Grünzug;Liriodendron tulipifera;Tulpenbaum;51.1815, 6.67272;Tulpenbaum
23201;Hammfeld;Stresemannalle Ecke Hammfelddamm;Koelreuteria paniculata;Blasenbaum;51.1977, 6.7094;Blasenbaum
23207;Hammfeld;Stresemannalle Ecke Hammfelddamm;Koelreuteria paniculata;Blasenbaum;51.1978, 6.71033;Blasenbaum
23374;Weckhoven;Kurt-Huber-Str. 19;Castanea sativa;Esskastanie;51.1595, 6.69374;Esskastanie
23304;Stadionviertel;Konrad-Adenauer-Ring Grefrather Weg (Grünzug);Quercus palustris;Eiche, Sumpf;51.1843, 6.67622;Eiche
23306;Stadionviertel;Glehner Weg 88;Liquidambar styraciflua;Amberbaum;51.1962, 6.66915;Amberbaum
23272;Pomona;Bergheimerstr. ggb. Abzw. Am Krausenbaum;Celtis australis;Zürgelbaum;51.184, 6.68903;Zürgelbaum
23274;Pomona;Bergheimerstr. 218 ggb.;Celtis australis;Zürgelbaum;51.1833, 6.68884;Zürgelbaum
23277;Pomona;Bergheimerstr. 236 ggb.;Celtis australis;Zürgelbaum;51.1824, 6.68862;Zürgelbaum
23215;Hammfeld;Hammer Landstr. 113;Alnus spaethii;Erle, Purpur;51.2031, 6.72092;Erle
23231;Hammfeld;Carl-Schurz-Str. 5;Quercus petraea;Eiche, Trauben;51.1952, 6.71398;Eiche
23232;Hammfeld;Carl-Schurz-Str. 5;Quercus petraea;Eiche, Trauben;51.1951, 6.71397;Eiche
23235;Hammfeld;Carl-Schurz-Str. 7;Quercus petraea;Eiche, Trauben;51.1935, 6.71365;Eiche
23185;Grimlinghausen;Cyriakusstr. 22 ggb.;Cercidiphyllum japonicum;Kuchenbaum;51.1802, 6.73926;Kuchenbaum
23186;Grimlinghausen;Am Röttgen 16 schräg dahinter;Koelreuteria paniculata;Blasenbaum;51.1796, 6.74443;Blasenbaum
23176;Gnadental;Kölner Str. Ecke Tiberiusstr.;Zelkove serrata 'Village Green';Zelkove;51.1829, 6.72519;Zelkove
23180;Gnadental;Haselweg KSP Grünzug;Gymnocladus diocus;Geweihbaum;51.1771, 6.7189;Geweihbaum
23182;Gnadental;Haselweg KSP Grünzug;Gymnocladus diocus;Geweihbaum;51.1772, 6.71901;Geweihbaum
23279;Reuschenberg;Linneplatz 3 ggb.;Carpinus betulus;Hainbuche;51.1687, 6.69631;Hainbuche
23283;Reuschenberg;Linneplatz 5 ggb.;Alnus cordata;Erle, Italienische;51.1694, 6.69773;Erle
23287;Reuschenberg;Lupinenstr. 88 ggb.;Alnus spaethii;Erle, Purpur;51.1699, 6.69518;Erle
23290;Reuschenberg;Aurinstr. 8;Alnus spaethii;Erle, Purpur;51.1684, 6.69425;Erle
23291;Reuschenberg;Aurinstr. 10;Alnus spaethii;Erle, Purpur;51.1683, 6.69391;Erle
23292;Reuschenberg;Aurinstr. 18;Alnus spaethii;Erle, Purpur;51.1678, 6.69316;Erle
23293;Reuschenberg;Aurinstr. 20;Alnus spaethii;Erle, Purpur;51.1677, 6.69298;Erle
23295;Reuschenberg;Aurinstr. 26;Alnus spaethii;Erle, Purpur;51.1675, 6.69259;Erle
23301;Reuschenberg;Finkenstr. 5;Ulmus hollandica 'Lobel';Ulme, Stadt;51.1654, 6.68254;Ulme
23239;Holzheim;Vereinsstr. 5;Acer campestre 'Elsrijk';Ahorn, Feld;51.1611, 6.6735;Ahorn
23240;Holzheim;Vereinsstr. 9;Acer campestre 'Elsrijk';Ahorn, Feld;51.1612, 6.67323;Ahorn
23083;Erfttal;Harffer Str. Ecke Bedburger Str.;Fraxinus angustifolia 'Raywood';Esche, Schmalblättrige;51.1697, 6.72813;Esche
23262;Norf-Derikum;Aggerstr. 21 ggb neben Fussweg;Liquidambar styraciflua;Amberbaum;51.1661, 6.73275;Amberbaum
23265;Norf-Derikum;Am Goldberg 94a ggb.;Carpinus betulus;Hainbuche;51.1626, 6.74033;Hainbuche
23261;Norf;Südstr. 17 Ecke Geibelstr.;Quercus pubescens;Eiche, Flaum;51.1552, 6.73116;Eiche
23260;Norf;Eichenallee 11 a ggb.;Quercus petraea;Eiche, Trauben;51.1517, 6.72499;Eiche
23307;Stadionviertel;Virchowstr. 3;Acer freemanii 'Scarlet Sentinel';Ahorn, Rot;51.1902, 6.67471;Ahorn
23308;Stadionviertel;Im Jagdfeld 24;Acer freemanii 'Scarlet Sentinel';Ahorn, Rot;51.1894, 6.67596;Ahorn
23311;Stadionviertel;Im Jagdfeld 14;Acer freemanii 'Scarlet Sentinel';Ahorn, Rot;51.1897, 6.67701;Ahorn
23316;Stadionviertel;Konrad-Adenauer-Ring 37 a;Tilia europaea 'Pallida';Linde, Kaiser;51.1957, 6.66768;Linde
23317;Stadionviertel;Konrad-Adenauer-Ring 33;Alnus cordata;Erle, Italienische;51.1967, 6.66689;Erle
23320;Stadionviertel;Stoffelsweg Ecke Konrad-Adenauer-Ring;Alnus cordata;Erle, Italienische;51.2008, 6.66505;Erle
23321;Stadionviertel;Stoffelsweg Ecke Konrad-Adenauer-Ring;Alnus cordata;Erle, Italienische;51.2008, 6.66518;Erle
23062;Augustinusviertel;Stresemannallee neben Brücke Europadamm;Tilia europaea 'Pallida';Linde, Kaiser;51.1934, 6.70279;Linde
23060;Augustinusviertel;Stresemannallee Mittelstreifen;Tilia europaea 'Pallida';Linde, Kaiser;51.1943, 6.70482;Linde
23253;Innenstadt;Promenadenstr. Grünzug Nähe Kanal unterhalb Alte Post;Carpinus betulus;Hainbuche;51.1967, 6.69014;Hainbuche
23254;Innenstadt;Erftstr. 100 ggb.;Alnus glutinosa;Erle, Schwarz;51.196, 6.69141;Erle
23400;Wehl;Wehler Dorfstr. Ecke Ecke Specker Str.;Acer freemanii 'Scarlet Sentinel';Ahorn, Rot;51.1366, 6.679;Ahorn
23343;Vogelsang;Daimler Str. 18 nebenan;Tilia europaea 'Pallida';LInde, Kaiser;51.2248, 6.66113;LInde
23344;Vogelsang;Daimler Str. 183 ggb.;Tilia americana;Linde, Amerikanische;51.2251, 6.66208;Linde
23138;Furth-Nord;Viersener Str. 100;Tilia europaea 'Pallida';LInde, Kaiser;51.2165, 6.64891;LInde
23144;Furth-Nord;Viersener Str. 53 daneben;Tilia americana;Linde, Amerikanische;51.2173, 6.65329;Linde
23148;Furth-Nord;Viersener Str. 53 nebenan Grünzug Parkplatz;Liriodendron tulipifera;Tulpenbaum;51.2174, 6.65387;Tulpenbaum
23153;Furth-Nord;Im Püllenkamp Ecke Lange Hecke;Tilia mongolica;Linde, Mongolische;51.2191, 6.64957;Linde
23160;Furth-Nord;Lauvenburger Str. 9;Fraxinus angustifolia 'Raywood';Esche, Schmalblättrige;51.221, 6.65483;Esche
23161;Furth-Nord;Lauvenburger Str. 8;Fraxinus angustifolia 'Raywood';Esche, Schmalblättrige;51.221, 6.65503;Esche
23164;Furth-Nord;Kaarster Str. 69;Tilia tomentosa;Linde, Silber;51.2193, 6.65726;Linde
23167;Furth-Nord;Kaarster Str. 91 ggb. auf Wiese;Koelreuteria paniculata;Blasenbaum;51.2197, 6.6568;Blasenbaum
23168;Furth-Nord;Kaarster Str. 91 ggb. auf Wiese;Koelreuteria paniculata;Blasenbaum;51.2198, 6.65673;Blasenbaum
23169;Furth-Nord;Kaarster Str. 91 ggb. auf Wiese;Koelreuteria paniculata;Blasenbaum;51.2199, 6.65669;Blasenbaum
23170;Furth-Nord;Lange Hecke 1;Tilia europaea 'Pallida';LInde, Kaiser;51.2189, 6.65314;LInde
23172;Furth-Nord;Lange Hecke 5;Tilia europaea 'Pallida';LInde, Kaiser;51.2188, 6.65278;LInde
23356;Vogelsang;Bickenbachstr. 13;Acer rubrum;Ahorn, Rot;51.2232, 6.66121;Ahorn
23359;Vogelsang;Brückerfeldstraße 15;Tilia americana;Linde, Amerikanische;51.2216, 6.65883;Linde
23364;Vogelsang;Furtherhofstr. Ecke Am Flachshof;Ulmus hollandica 'Lobel';Ulme, Stadt;51.2207, 6.66099;Ulme
23365;Vogelsang;Furtherhofstr. ggb. Ecke Am Flachshof;Tilia tomentosa;Linde, Silber;51.2208, 6.66121;Linde
23371;Vogelsang;Furtherhofstr. ggb. Abzw. Römerstr.;Acer monspessulanum;Ahorn, Französischer;51.2238, 6.6669;Ahorn
23085;Furth-Mitte;Plankstraße 64 Ecke Annostr.;Acer rubrum;Ahorn, Rot;51.2071, 6.66845;Ahorn
23067;Barbaraviertel;Gladbacher Str. 470 ggb.;Acer platanoides 'Schwedleri';Ahorn, Roter Spitz;51.2255, 6.68986;Ahorn
23068;Barbaraviertel;Scharnhorststraße 6 ggb.;Juglans regia;Nuss, Wal;51.2141, 6.6896;Nuss
23070;Barbaraviertel;Scharnhorststraße 6 ggb.;Juglans regia;Nuss, Wal;51.2141, 6.68979;Nuss
23071;Barbaraviertel;Scharnhorststraße 6 ggb.;Juglans regia;Nuss, Wal;51.2142, 6.68988;Nuss
23072;Barbaraviertel;Bockholtstr. 41;Acer platanoides 'Schwedleri';Ahorn, Roter Spitz;51.223, 6.69272;Ahorn
23074;Barbaraviertel;Xantener Str. 1 Ecke Bockholtstr.;Acer platanoides 'Schwedleri';Ahorn, Roter Spitz;51.2221, 6.68616;Ahorn
23079;Barbaraviertel;Bockholtstr. Ecke Bataverstr.;Ulmus hollandica 'Lobel';Ulme, Stadt;51.2213, 6.68173;Ulme
23106;Furth-Mitte;Pommernst. 15;Acer rubrum;Ahorn, Rot;51.2129, 6.66319;Ahorn
23107;Furth-Mitte;Pommernst. 13;Tilia europaea 'Pallida';Linde, Kaiser;51.213, 6.66322;Linde
23108;Furth-Mitte;Pommernst. 13;Tilia europaea 'Pallida';Linde, Kaiser;51.2131, 6.66323;Linde
23109;Furth-Mitte;Pommernst. 13;Tilia europaea 'Pallida';Linde, Kaiser;51.2131, 6.66324;Linde
23110;Furth-Mitte;Pommernst. 11;Acer rubrum;Ahorn, Rot;51.2132, 6.66326;Ahorn
23111;Furth-Mitte;Pommernst. 11;Acer rubrum;Ahorn, Rot;51.2134, 6.66329;Ahorn
23113;Furth-Mitte;Pommernst. 7;Juglans regia;Nuss, Wal;51.2139, 6.66377;Nuss
23119;Furth-Mitte;Schabernackstr. 89 schräg ggb.;Acer rubrum;Ahorn, Rot;51.212, 6.6614;Ahorn
23120;Furth-Mitte;Schabernackstr. 79;Acer rubrum;Ahorn, Rot;51.2118, 6.662;Ahorn
23124;Furth-Mitte;Schabernackstr. 53/55;Alnus spaethii;Erle, Purpur;51.2117, 6.66345;Erle
23127;Furth-Mitte;Schabernackstr. 31;Alnus spaethii;Erle, Purpur;51.2119, 6.66472;Erle
23385;Furth-Mitte;Jostenallee 15;Acer rubrum;Ahorn, Rot;51.2111, 6.6673;Ahorn
23391;Furth-Mitte;Friedensstr. 12 Ecke Adolfstr./Engelbertstr.;Fraxinus angustifolia 'Raywood';Esche, schmalblättrige;51.2076, 6.6724;Esche
23415;Vogelsang;Kaarster Str. 148 nebenan;Castanea sativa;Esskastanie;51.2234, 6.65421;Esskastanie
23417;Vogelsang;Eggenhofstr. Ecke Kaarster Str.;Alnus spaethii;Erle, Purpur;51.2276, 6.6491;Erle
23016;Stadionviertel;Eselspfad KSP;Quercus palustris;Eiche, Sumpf;51.1823, 6.67058;Eiche
23041;Gnadental;Nixhütter Weg 68;Acer truncatum 'Pacific sunset';Ahorn, Chinesicher Spitz-;51.1771, 6.72086;Ahorn
23046;Gnadental;Nixhütter Weg 54 ggb.;Acer opalus;Ahorn, Schneeball;51.1783, 6.72267;Ahorn
23049;Gnadental;Nixhütter Weg 40/44 ggb.;Acer truncatum 'Pacific sunset';Ahorn, Chinesicher Spitz-;51.1788, 6.7235;Ahorn
23025;Reuschenberg;Linneplatz - Arboretum;Juglans regia;Nuss, Wal;51.1651, 6.69773;Nuss
23052;Furth-Mitte;Plankstr. Jostensbusch;Juglans regia;Nuss, Wal;51.2102, 6.66411;Nuss
23051;Furth-Mitte;Plankstr. Jostensbusch;Juglans regia;Nuss, Wal;51.2102, 6.66408;Nuss
23006;Barbaraviertel;Bockholtstr. 62 ggb.;Carpinus betulus;Hainbuche;51.223, 6.69178;Hainbuche
23019;Furth-Nord;Kaarster Str. Ecke Nehringskamp;Malus domestica;Apfel, Roter Gravensteiner;51.2237, 6.65355;Apfel
23009;Furth-Mitte;Engelbertstr. 12 Grünzug;Fraxinus americana 'Skyline';Esche, Kleinkronige 'Raywood';51.2067, 6.6705;Esche
23028;Furth-Mitte;Neusser Weyhe rechts;Parrotia persica;Eisenholzbaum;51.2158, 6.66515;Eisenholzbaum
23029;Furth-Mitte;Neusser Weyhe rechts;Parrotia persica;Eisenholzbaum;51.2158, 6.66535;Eisenholzbaum
23030;Furth-Mitte;Neusser Weyhe rechts;Cercis siliquastrum;Judasbaum;51.2158, 6.66548;Judasbaum
23037;Furth-Mitte;Neusser Weyhe rechts;Juglans regia;Nuss, Wal;51.2158, 6.66693;Nuss
21357;Innenstadt;Marienkirchplatz 6;Prunus serrulata 'Kanzan';Kirsche, Jap Zier;51.2032, 6.68578;Kirsche
21359;Innenstadt;Marienkirchplatz 4;Prunus serrulata 'Kanzan';Kirsche, Jap Zier;51.2029, 6.68527;Kirsche
21316;Furth Süd;Römerstr. 65 Mittelstreifen;Celtis australis;Zürgelbaum;51.2107, 6.67994;Zürgelbaum
21321;Furth Süd;Karl-Arnold-Str. 12-16;Prunus serrulata 'Kanzan';Kirsche, Jap Zier;51.2089, 6.68469;Kirsche
21341;Furth Süd;Wolberostr. Ecke Further Str.;Acer campestre 'Elsrijk';Ahorn, Feld;51.2058, 6.67831;Ahorn
21347;Furth Süd;Römerstr. 50;Acer campestre 'Elsrijk';Ahorn, Feld;51.2088, 6.67961;Ahorn
21349;Furth Süd;Römerstr. 93 Mittelstreifen;Platanus acerifolia;Platane;51.2114, 6.67997;Platane
21364;Innenstadt;Gielenstr. 39 ggb. Mittelstreifen;Fraxinus ornus;Esche, Blumen;51.2009, 6.68113;Esche
21369;Innenstadt;Gielenstr. 5 Mittelstreifen Straßenbahn;Platanus acerifolia;Platane;51.2027, 6.68287;Platane
21370;Innenstadt;Gielenstr. 5 Mittelstreifen Straßenbahn;Platanus acerifolia;Platane;51.2026, 6.68282;Platane
21371;Innenstadt;Gielenstr. 5 Mittelstreifen Straßenbahn;Platanus acerifolia;Platane;51.2026, 6.68275;Platane
21383;Innenstadt;Düsseldorfer Str. Ecke Rheintorstr.;Alnus spaethii;Erle, Purpur;51.2068, 6.68888;Erle
21384;Furth-Süd;Kurze Str. 35-39 dahinter Fußweg Bahndamm;Acer campestre 'Elsrijk';Ahorn, Feld;51.2026, 6.67811;Ahorn
21386;Furth-Süd;Kurze Str. 35-39 dahinter Fußweg Bahndamm;Acer campestre 'Elsrijk';Ahorn, Feld;51.2027, 6.67838;Ahorn
21388;Furth-Süd;Kurze Str. 35-39 dahinter Fußweg Bahndamm;Acer campestre 'Elsrijk';Ahorn, Feld;51.2028, 6.67866;Ahorn
21390;Furth-Süd;Kurze Str. 35-39 dahinter Fußweg Bahndamm;Acer campestre 'Elsrijk';Ahorn, Feld;51.2028, 6.67894;Ahorn
21392;Furth-Süd;Katharina-Braeckeler-Str. Ende vor Fußweg am Bahndamm;Celtis australis;Zürgelbaum;51.2035, 6.68079;Zürgelbaum
21394;Innenstadt;Theodor-Heuss-Platz Wendeschleife Strassenbahn;Ulmus X hollandica 'Lobel';Ulme, Schmalkronige Stadt;51.2043, 6.68678;Ulme
21395;Furth-Süd;Katharina-Braeckeler-Str. Ende vor Fußweg am Bahndamm;Corylus colurna;Hasel, Baum;51.2036, 6.68083;Hasel
21396;Furth-Süd;Katharina-Braeckeler-Str. Ende vor Fußweg am Bahndamm;Corylus colurna;Hasel, Baum;51.2036, 6.681;Hasel
21398;Furth-Süd;Römerstr. Ecke Wolkerstr.;Liquidamber styraciflua;Amberbaum;51.2105, 6.68015;Amberbaum
22380;Furth-Süd;Karl-Arnold-Str. zw. Josefstr. und Salzstr.;Prunus serrulata 'Kanzan';Kirsche, Jap Zier;51.2076, 6.68458;Kirsche
22384;Furth-Süd;Karl-Arnold-Str. zw. Josefstr. und Salzstr.;Quercus cerris;Eiche, Flaum;51.2075, 6.68451;Eiche
22387;Furth-Süd;Karl-Arnold-Str. 12-16;Cercis siliquastrum;Judasbaum;51.2083, 6.68463;Judasbaum
